mutation_id,scenario_id,status,outcome,k_source,k_followup,ratio,assertion
M00-identity,openmoc-pincell-nu-sigma-f,ran,missed,1.133058,1.699904,1.500279,greater
M00-identity,openmc-pincell-nu-sigma-f,ran,missed,1.124500,1.689961,1.502855,greater
M00-identity,openmoc-pincell-sigma-a,ran,missed,1.133058,0.806904,0.712147,less
M00-identity,openmc-pincell-sigma-a,ran,missed,1.124500,0.802717,0.713844,less
M01-openmoc-runner-chi-zero,openmoc-pincell-nu-sigma-f,ran,detected,0.000591,0.000591,1.000000,greater
M01-openmoc-runner-chi-zero,openmc-pincell-nu-sigma-f,not-affected,,,,,
M01-openmoc-runner-chi-zero,openmoc-pincell-sigma-a,ran,missed,0.000591,0.000508,0.859421,less
M01-openmoc-runner-chi-zero,openmc-pincell-sigma-a,not-affected,,,,,
M02-openmoc-runner-sigt-from-siga,openmoc-pincell-nu-sigma-f,ran,detected,inf,inf,nan,greater
M02-openmoc-runner-sigt-from-siga,openmc-pincell-nu-sigma-f,not-affected,,,,,
M02-openmoc-runner-sigt-from-siga,openmoc-pincell-sigma-a,ran,detected,inf,inf,nan,less
M02-openmoc-runner-sigt-from-siga,openmc-pincell-sigma-a,not-affected,,,,,
M03-openmoc-runner-swap-fuel-moderator,openmoc-pincell-nu-sigma-f,ran,missed,1.433004,2.149716,1.500146,greater
M03-openmoc-runner-swap-fuel-moderator,openmc-pincell-nu-sigma-f,not-affected,,,,,
M03-openmoc-runner-swap-fuel-moderator,openmoc-pincell-sigma-a,ran,missed,1.433004,0.913502,0.637474,less
M03-openmoc-runner-swap-fuel-moderator,openmc-pincell-sigma-a,not-affected,,,,,
M04-openmoc-runner-drop-nu-sigma-f,openmoc-pincell-nu-sigma-f,ran,detected,nan,nan,nan,greater
M04-openmoc-runner-drop-nu-sigma-f,openmc-pincell-nu-sigma-f,not-affected,,,,,
M04-openmoc-runner-drop-nu-sigma-f,openmoc-pincell-sigma-a,ran,detected,nan,nan,nan,less
M04-openmoc-runner-drop-nu-sigma-f,openmc-pincell-sigma-a,not-affected,,,,,
M05-openmoc-runner-chi-swap-groups,openmoc-pincell-nu-sigma-f,ran,missed,1.277998,1.916872,1.499902,greater
M05-openmoc-runner-chi-swap-groups,openmc-pincell-nu-sigma-f,not-affected,,,,,
M05-openmoc-runner-chi-swap-groups,openmoc-pincell-sigma-a,ran,missed,1.277998,0.964678,0.754836,less
