mutation_id,predicted,source_only_observed,matrix_observed,any_source_shift,any_followup_shift,errors
Mut00-identity,equivalent,equivalent,error,True,False,2
Mut01-openmoc-runner-chi-zero,semantic,semantic,semantic,True,True,0
Mut02-openmoc-runner-sigt-from-siga,semantic,semantic,semantic,True,True,0
Mut03-openmoc-runner-swap-fuel-moderator,semantic,semantic,semantic,True,True,0
Mut04-openmoc-runner-drop-nu-sigma-f,semantic,equivalent,semantic,True,True,0
Mut05-openmoc-runner-chi-swap-groups,semantic,semantic,semantic,True,True,0
Mut06-openmoc-runner-vacuum-boundary,semantic,semantic,semantic,True,True,0
Mut07-openmoc-adapter-nsf-inverse,semantic,equivalent,semantic,False,True,0
Mut08-openmoc-adapter-nsf-square,semantic,equivalent,semantic,False,True,0
Mut09-openmoc-adapter-nsf-moderator,equivalent,equivalent,semantic,False,True,0
Mut10-openmoc-adapter-nsf-identity,semantic,equivalent,semantic,False,True,0
Mut11-openmoc-adapter-nsf-fast-only,semantic,equivalent,semantic,False,True,0
Mut12-openmoc-adapter-sa-no-sigt-update,solver-dependent,equivalent,semantic,False,True,0
Mut13-openmoc-adapter-sa-inverse,semantic,equivalent,semantic,False,True,0
Mut14-openmoc-adapter-sa-moderator,semantic,equivalent,semantic,False,True,0
Mut15-openmc-runner-chi-zero,semantic,error,equivalent,False,False,0
Mut16-openmc-runner-scatter-transpose,semantic,semantic,equivalent,False,False,0
Mut17-openmc-runner-vacuum-boundary,semantic,semantic,semantic,True,True,0
Mut18-openmc-runner-batches-too-few,semantic,equivalent,semantic,False,False,0
Mut19-openmc-runner-hardcode-keff,semantic,semantic,semantic,True,True,0
Mut20-openmc-runner-chi-swap-groups,semantic,semantic,semantic,True,True,0
Mut21-openmc-runner-fission-zero,semantic,equivalent,error,True,False,1
Mut22-openmc-adapter-nsf-inverse,semantic,equivalent,semantic,False,True,0
Mut23-openmc-adapter-nsf-square,semantic,equivalent,semantic,False,True,0
Mut24-openmc-adapter-nsf-moderator,equivalent,equivalent,semantic,False,True,0
Mut25-openmc-adapter-nsf-identity,semantic,equivalent,semantic,False,True,0
Mut26-openmc-adapter-sa-no-sigt-update,semantic,equivalent,equivalent,False,False,0
Mut27-openmc-adapter-sa-inverse,semantic,equivalent,semantic,False,True,0
Mut28-openmoc-runner-chi-fast-only,semantic,—,semantic,False,True,0
Mut29-openmoc-adapter-fuel-sigt-no-siga-update,equivalent,—,equivalent,False,False,0
Mut30-openmoc-adapter-moderator-sigma-a-no-sigt-update,semantic,—,semantic,False,True,0
Mut31-openmoc-adapter-group-permute-fuel-only,semantic,—,semantic,False,True,0
Mut32-openmoc-adapter-fuel-sigma-s-identity,semantic,—,semantic,False,True,0
Mut33-openmoc-adapter-fuel-radius-shrink,semantic,—,semantic,False,True,0
Mut34-openmc-adapter-particles-no-op,semantic,—,semantic,False,False,0
Mut35-openmc-runner-chi-fast-only,semantic,—,semantic,False,True,0
Mut36-openmc-adapter-group-permute-fuel-only,semantic,—,semantic,False,True,0
Mut37-openmc-adapter-fuel-sigma-s-identity,semantic,—,semantic,False,True,0
Mut38-openmc-adapter-fuel-radius-shrink,semantic,—,semantic,False,True,0
Mut39-openmoc-runner-hardcode-y-from-x,semantic,—,semantic,True,True,0
Mut40-openmc-runner-hardcode-y-from-x,semantic,—,semantic,True,True,0
Mut41-openmoc-runner-clamp-y-offset-positive,semantic,—,semantic,True,False,0
Mut42-openmoc-runner-clamp-x-offset-positive,semantic,—,semantic,True,False,0
Mut43-openmc-runner-clamp-y-offset-positive,semantic,—,semantic,True,False,0
Mut44-openmc-runner-clamp-x-offset-positive,semantic,—,error,True,False,1
Mut45-openmoc-runner-ignore-temperature,semantic,—,semantic,True,True,0
Mut46-openmc-runner-ignore-temperature,semantic,—,semantic,True,True,0
Mut47-openmoc-runner-tally-y-sign-bucket,semantic,—,semantic,True,False,0
