[Pane] Name='' Aid='PART_NavigationViewContentPresenter' Cls='Frame'
  [Text] Name='Discoverer:' Aid='' Cls='TextBlock'
  [ComboBox] Name='' Aid='' Cls='ComboBox'
  [Text] Name='Target SUT:' Aid='' Cls='TextBlock'
  [ComboBox] Name='' Aid='' Cls='ComboBox'
  [Button] Name='Run discovery' Aid='' Cls='Button'
    [Text] Name='' Aid='' Cls='TextBlock'
    [Text] Name='Run discovery' Aid='' Cls='TextBlock'
  [Text] Name='' Aid='' Cls='TextBlock'
  [Text] Name='' Aid='' Cls='TextBlock'
  [DataGrid] Name='' Aid='' Cls='DataGrid'
    [Header] Name='' Aid='PART_ColumnHeadersPresenter' Cls='DataGridColumnHeadersPresenter'
      [HeaderItem] Name='Code' Aid='' Cls='DataGridColumnHeader'
        [Text] Name='Code' Aid='' Cls='TextBlock'
        [Thumb] Name='' Aid='PART_RightHeaderGripper' Cls='Thumb'
      [HeaderItem] Name='Name' Aid='' Cls='DataGridColumnHeader'
        [Text] Name='Name' Aid='' Cls='TextBlock'
        [Thumb] Name='' Aid='PART_LeftHeaderGripper' Cls='Thumb'
        [Thumb] Name='' Aid='PART_RightHeaderGripper' Cls='Thumb'
      [HeaderItem] Name='Assertion' Aid='' Cls='DataGridColumnHeader'
        [Text] Name='Assertion' Aid='' Cls='TextBlock'
        [Thumb] Name='' Aid='PART_LeftHeaderGripper' Cls='Thumb'
        [Thumb] Name='' Aid='PART_RightHeaderGripper' Cls='Thumb'
      [HeaderItem] Name='Value' Aid='' Cls='DataGridColumnHeader'
        [Text] Name='Value' Aid='' Cls='TextBlock'
        [Thumb] Name='' Aid='PART_LeftHeaderGripper' Cls='Thumb'
        [Thumb] Name='' Aid='PART_RightHeaderGripper' Cls='Thumb'
      [HeaderItem] Name='Confidence' Aid='' Cls='DataGridColumnHeader'
        [Text] Name='Confidence' Aid='' Cls='TextBlock'
        [Thumb] Name='' Aid='PART_LeftHeaderGripper' Cls='Thumb'
        [Thumb] Name='' Aid='PART_RightHeaderGripper' Cls='Thumb'
      [HeaderItem] Name='Status' Aid='' Cls='DataGridColumnHeader'
        [Text] Name='Status' Aid='' Cls='TextBlock'
        [Thumb] Name='' Aid='PART_LeftHeaderGripper' Cls='Thumb'
        [Thumb] Name='' Aid='PART_RightHeaderGripper' Cls='Thumb'
      [HeaderItem] Name='Created' Aid='' Cls='DataGridColumnHeader'
        [Text] Name='Created' Aid='' Cls='TextBlock'
        [Thumb] Name='' Aid='PART_LeftHeaderGripper' Cls='Thumb'
        [Thumb] Name='' Aid='PART_RightHeaderGripper' Cls='Thumb'
